"MyUniID" "NS1" "refCoupNum" "coup1" "coup2" "coup3" "interviewDt" "interviewDt2"
1 70 1 11 12 13 1231286504 "7/28/09"
3 20 2 21 22 23 1231286504 "7/28/09"
4 300 3 31 32 33 1231284904 "7/29/09"
5 40 4 41 42 43 1231284904 "7/29/09"
6 10 11 111 112 113 1236470400 "8/3/09"
7 100 13 131 132 133 1236470400 "8/3/09"
8 200 12 121 122 123 1236470400 "8/3/09"
9 50 23 231 232 233 1239148800 "8/4/09"
10 40 21 211 212 213 1239148800 "8/4/09"
11 50 22 221 222 223 1239148800 "8/4/09"
12 100 132 1321 1322 1323 1254960000 "8/10/09"
13 20 133 1331 1332 1333 1254960000 "8/10/09"
14 40 131 1311 1312 1313 1254960000 "8/10/09"
15 200 113 1131 1132 1133 1257638400 "8/11/09"
16 500 111 1111 1112 1113 1257638400 "8/11/09"
17 100 1331 13311 13312 13313 1262908800 "8/13/09"
18 70 1332 13321 13322 13323 1262908800 "8/13/09"
19 100 1333 13331 13332 13333 1262908800 "8/13/09"
20 13 1323 13231 13232 13233 -486614118 "8/14/09"
21 130 1322 13221 13222 13223 -486614118 "8/14/09"
22 30 1321 13211 13212 13213 -486614118 "8/14/09"
23 100 112 1121 1122 1123 -486614118 "8/14/09"
24 35 211 2111 2112 2113 -486614118 "8/14/09"
25 15 213 2131 2132 2133 -486614118 "8/14/09"
26 30 212 2121 2122 2123 -486614118 "8/14/09"
27 30 1312 13121 13122 13123 2321177088 "8/17/09"
28 70 1313 13131 13132 13133 2321177088 "8/17/09"
29 20 1311 13111 13112 13113 2321177088 "8/17/09"
30 28 13131 131311 131312 131313 2321177088 "8/17/09"
31 30 13132 131321 131322 131323 2321177088 "8/17/09"
32 500 13133 131331 131332 131333 2321177088 "8/17/09"
33 30 13332 133321 133322 133323 157630976 "8/18/09"
34 25 13333 133331 133332 133333 157630976 "8/18/09"
36 80 13331 133311 133312 133313 157630976 "8/18/09"
37 400 13323 133231 133232 133233 157630976 "8/18/09"
38 300 13321 133211 133212 133213 157630976 "8/18/09"
40 200 13322 133221 133222 133223 157630976 "8/18/09"
41 150 1111 11111 11112 11113 157630976 "8/18/09"
42 10 1113 11131 11132 11133 157630976 "8/18/09"
43 300 13113 131131 131132 131133 157630976 "8/18/09"
44 30 13112 131121 131122 131123 157630976 "8/18/09"
46 50 13313 133131 133132 133133 157630976 "8/18/09"
48 60 13311 133111 133112 133113 157630976 "8/18/09"
49 300 13312 133121 133122 133123 157630976 "8/18/09"
50 15 13233 132331 132332 132333 1231372800 "8/20/09"
51 30 13231 132311 132312 132313 1231372800 "8/20/09"
52 600 13232 132321 132322 132323 1231372800 "8/20/09"
54 50 13221 132211 132212 132213 1231372800 "8/20/09"
55 300 13222 132221 132222 132223 1231372800 "8/20/09"
56 400 13223 132231 132232 132233 1231372800 "8/20/09"
57 20 13211 132111 132112 132113 1231372800 "8/20/09"
58 200 13212 132121 132122 132123 1231372800 "8/20/09"
59 500 13213 132131 132132 132133 1231372800 "8/20/09"
60 100 131311 1313111 1313112 1313113 2307473920 "8/21/09"
61 80 131312 1313121 1313122 1313123 2307473920 "8/21/09"
62 50 131313 1313131 1313132 1313133 2307473920 "8/21/09"
63 150 1123 11231 11232 11233 2307473920 "8/21/09"
64 20 1122 11221 11222 11223 2307473920 "8/21/09"
65 25 2121 21211 21212 21213 2307473920 "8/21/09"
66 120 2123 21231 21232 21233 2307473920 "8/21/09"
67 200 1121 11211 11212 11213 2307473920 "8/21/09"
68 999 131321 1313211 1313212 1313213 1231372803 "8/24/09"
69 150 5 51 52 53 1231372803 "8/24/09"
71 999 131322 1313221 1313222 1313223 1231372803 "8/24/09"
72 30 131323 1313231 1313232 1313233 1231372803 "8/24/09"
73 250 1112 11121 11122 11123 1231372803 "8/24/09"
74 50 131331 1313311 1313312 1313313 1231372803 "8/24/09"
75 20 131332 1313321 1313322 1313323 1231372803 "8/24/09"
76 20 131333 1313331 1313332 1313333 1231372803 "8/24/09"
77 20 133332 1333321 1333322 1333323 1231367864 "8/25/09"
78 150 133333 1333331 1333332 1333333 1231367864 "8/25/09"
79 30 133331 1333311 1333312 1333313 1231367864 "8/25/09"
80 80 133311 1333111 1333112 1333113 1231372864 "8/26/09"
81 300 133312 1333121 1333122 1333123 1231372864 "8/26/09"
82 100 133313 1333131 1333132 1333133 1231372864 "8/26/09"
83 15 133221 1332211 1332212 1332213 1231372864 "8/26/09"
84 50 133223 1332231 1332232 1332233 1231372864 "8/26/09"
85 100 133222 1332221 1332222 1332223 1231372864 "8/26/09"
86 100 133233 1332331 1332332 1332333 1231372864 "8/26/09"
87 300 133232 1332321 1332322 1332323 1231372864 "8/26/09"
88 50 133211 1332111 1332112 1332113 1231368200 "8/27/09"
89 100 133213 1332131 1332132 1332133 1231368200 "8/27/09"
90 300 133212 1332121 1332122 1332123 1231368200 "8/27/09"
91 30 11111 111111 111112 111113 1231368200 "8/27/09"
93 30 11112 111121 111122 111123 1231368200 "8/27/09"
94 50 11113 111131 111132 111133 1231368200 "8/27/09"
95 40 133131 1331311 1331312 1331313 1231372904 "8/28/09"
96 500 133132 1331321 1331322 1331323 1231372904 "8/28/09"
97 100 133133 1331331 1331332 1331333 1231372904 "8/28/09"
98 30 132331 1323311 1323312 1323313 1231372800 "8/31/09"
99 50 132332 1323321 1323322 1323323 1231372800 "8/31/09"
100 999 131131 1311311 1311312 1311313 1231372800 "8/31/09"
101 200 132333 1323331 1323332 1323333 1231372800 "8/31/09"
102 30 131132 1311321 1311322 1311323 1231372800 "8/31/09"
103 300 131133 1311331 1311332 1311333 1231372800 "8/31/09"
104 200 132212 1322121 1322122 1322123 1231459200 "9/1/09"
105 250 132211 1322111 1322112 1322113 1231459200 "9/1/09"
106 200 132213 1322131 1322132 1322133 1231459200 "9/1/09"
107 100 2122 21221 21222 21223 1231459200 "9/1/09"
108 80 133231 1332311 1332312 1332313 1231459200 "9/1/09"
109 30 132113 1321131 1321132 1321133 1234137600 "9/2/09"
110 300 132121 1321211 1321212 1321213 1234137600 "9/2/09"
111 150 132122 1321221 1321222 1321223 1234137600 "9/2/09"
112 40 132123 1321231 1321232 1321233 1234137600 "9/2/09"
113 10 132111 1321111 1321112 1321113 1234137600 "9/2/09"
114 200 132112 1321121 1321122 1321123 1234137600 "9/2/09"
115 9 132231 1322311 1322312 1322313 1236556800 "9/3/09"
116 300 132232 1322321 1322322 1322323 1236556800 "9/3/09"
117 50 132233 1322331 1322332 1322333 1236556800 "9/3/09"
118 70 1313131 13131311 13131312 13131313 1236556800 "9/3/09"
119 20 1313132 13131321 13131322 13131323 1236556800 "9/3/09"
120 15 1313133 13131331 13131332 13131333 1236556800 "9/3/09"
121 200 132131 1321311 1321312 1321313 1236556800 "9/3/09"
