repeat,degree,time 
1,2,0
1,2,2002
1,2,2782
1,10,5873
1,10,16486
1,10,19523
1,10,19530
2,2,0
2,10,1141
2,10,1632
2,10,1749
2,10,2967
2,10,3346
2,10,3508
2,10,3879
2,10,4721
2,10,4814
2,10,5894
2,10,6317
2,10,6321
2,10,6450
2,2,6910
2,2,7295
2,10,7464
2,10,7486
2,10,8131
2,10,8186
2,10,8366
2,10,8475
2,10,8541
2,10,8699
2,10,8771
2,10,8797
2,10,8824
2,10,9038
2,10,9181
2,10,9386
2,10,9436
2,10,9452
2,10,9478
2,10,9554
2,2,9628
2,10,9672
2,10,9711
2,10,9747
2,10,9820
2,2,9869
2,10,9981
2,10,9989
2,10,10015
2,2,10119
2,2,10248
2,10,10277
2,10,10599
2,10,10794
2,10,10924
2,10,11023
2,10,11071
2,10,11132
2,10,11157
2,10,11260
2,10,11573
2,10,11577
2,10,11615
2,2,11634
2,10,11673
2,10,11675
2,10,11677
2,10,11685
2,2,11800
2,10,11814
2,10,11861
2,10,11878
2,10,11879
2,10,11892
2,10,11892
2,10,12006
2,10,12012
2,10,12045
2,10,12090
2,10,12129
2,10,12131
2,2,12187
2,10,12187
2,10,12209
2,10,12253
2,10,12304
2,10,12316
2,10,12419
2,10,12419
2,10,12465
2,10,12466
2,10,12469
2,10,12505
2,10,12554
2,10,12594
2,10,12595
2,10,12601
2,10,12632
2,10,12640
2,10,12728
2,10,12749
2,10,12808
2,10,12839
2,10,12877
2,10,12878
2,10,12915
2,10,12941
2,2,12955
2,2,12980
2,10,12987
2,2,12998
2,10,13038
2,10,13074
2,10,13103
2,10,13122
2,2,13156
2,2,13160
2,10,13286
2,10,13301
2,10,13318
2,10,13347
2,10,13347
2,10,13384
2,10,13405
2,10,13421
2,10,13499
2,10,13520
2,10,13527
2,2,13560
2,10,13562
2,10,13570
2,10,13602
2,10,13648
2,10,13664
2,10,13677
2,10,13677
2,10,13695
2,10,13698
2,10,13713
2,10,13727
2,10,13727
2,2,13727
2,2,13757
2,10,13760
2,2,13825
2,10,13885
2,10,13885
2,10,13971
2,10,13973
2,10,14004
2,2,14025
2,2,14029
2,10,14043
2,10,14045
2,10,14067
2,10,14076
2,10,14087
2,10,14089
2,10,14119
2,10,14161
2,2,14176
2,10,14201
2,10,14202
2,10,14212
2,10,14222
2,10,14230
2,10,14244
2,10,14259
2,10,14271
2,10,14284
2,10,14314
2,10,14344
2,10,14360
2,10,14423
2,10,14452
2,10,14461
2,10,14461
2,10,14468
2,2,14481
2,10,14482
2,10,14514
2,10,14517
2,10,14556
2,10,14588
2,2,14609
2,10,14610
2,10,14630
2,10,14637
2,10,14663
2,10,14674
2,10,14700
2,10,14708
2,10,14748
2,10,14760
2,10,14760
2,10,14777
2,10,14814
2,10,14830
2,10,14834
2,10,14840
2,10,14843
2,10,14855
2,10,14855
2,10,14855
2,10,14892
2,10,14901
2,2,14913
2,10,14920
2,2,14931
2,10,14940
2,10,14984
2,10,14997
2,10,15048
2,10,15070
2,2,15077
2,10,15079
2,10,15083
2,10,15099
2,10,15108
2,10,15125
2,10,15144
2,10,15199
2,10,15213
2,10,15235
2,10,15242
2,2,15252
2,10,15256
2,10,15260
2,10,15265
2,10,15328
2,10,15329
2,10,15336
2,10,15346
2,2,15354
2,10,15357
2,10,15360
2,10,15360
2,10,15366
2,10,15371
2,10,15371
2,10,15384
2,10,15417
2,10,15417
2,10,15419
2,10,15472
2,10,15490
2,10,15494
2,2,15500
2,10,15502
2,10,15531
2,10,15543
2,10,15590
2,10,15612
2,10,15617
2,10,15623
2,2,15626
2,10,15651
2,10,15655
2,10,15685
2,10,15687
2,2,15692
2,10,15698
2,10,15699
2,10,15714
2,2,15719
2,10,15733
2,2,15743
2,10,15743
2,10,15753
2,10,15761
2,2,15787
2,10,15794
2,10,15806
2,10,15811
2,10,15833
2,10,15840
2,10,15846
2,10,15864
2,10,15871
2,2,15880
2,10,15907
2,10,15915
2,10,15932
2,10,15948
2,10,15949
2,10,16001
2,10,16027
2,10,16027
2,10,16027
2,2,16029
2,10,16071
2,10,16093
2,10,16095
2,10,16114
2,10,16126
2,2,16144
2,10,16160
